0.14,0.97,-0.01,4.82,1.34,-3.48,0.98,6.10,402,497,47,110
0.14,0.97,-0.02,5.00,1.46,-3.91,0.98,6.52,499,504,51,106
0.14,0.97,-0.01,5.92,1.22,-3.60,0.98,7.04,561,507,53,99
0.14,0.97,-0.00,4.88,1.28,-3.97,0.98,6.42,421,510,63,93
0.15,0.97,0.00,2.01,1.59,-3.66,0.98,4.47,521,512,67,80
0.14,0.99,-0.02,0.31,1.65,-4.64,1.00,4.93,477,517,71,71
0.13,1.00,-0.01,1.65,1.46,-5.98,1.01,6.37,590,523,77,58
0.15,0.99,-0.01,1.16,-0.79,-10.25,1.00,10.35,408,534,81,47
0.16,0.98,-0.01,1.53,-2.50,-14.95,0.99,15.24,494,551,91,36
0.15,0.96,0.01,-1.22,-3.78,-25.82,0.97,26.12,386,583,98,27
0.17,1.02,-0.02,-10.93,-1.04,-35.58,1.03,37.24,461,628,108,18
0.18,1.23,-0.01,-21.55,2.69,-56.88,1.24,60.89,375,681,107,11
0.25,1.52,-0.07,-20.94,3.85,-121.52,1.55,123.37,176,740,113,6
0.28,1.96,-0.19,-6.84,-8.24,-197.94,1.99,198.23,75,787,115,4
0.30,1.89,-0.36,-25.82,-19.10,-292.54,1.94,294.30,31,833,105,5
0.15,2.84,0.35,-27.34,-19.90,-386.23,2.87,387.71,10,853,41,2
0.59,2.05,-0.20,30.64,8.67,-401.86,2.14,403.12,2,800,15,4
-1.26,1.25,-0.28,159.06,-21.06,-210.88,1.80,264.97,1,766,1,16
-0.79,0.32,-0.61,138.98,-32.35,-16.72,1.05,143.67,1,770,0,15
-0.61,0.48,-0.28,75.44,-42.18,66.47,0.82,109.03,1,787,0,20
-0.65,0.34,-0.34,91.37,-31.74,101.87,0.81,140.47,1,801,0,21
-0.68,0.13,-0.47,76.90,-10.07,172.18,0.84,188.84,1,803,0,22
-0.70,0.49,-0.31,20.14,38.02,216.37,0.91,220.61,1,804,0,19
-0.25,1.04,-0.43,25.70,87.40,265.44,1.15,280.64,1,804,1,21
0.36,1.24,-0.67,18.62,87.52,281.80,1.46,295.67,1,806,1,21
0.59,1.76,-0.61,4.70,49.38,243.10,1.96,248.11,1,807,0,20
0.43,1.67,-0.60,-1.59,12.15,230.77,1.82,231.10,1,808,0,19
0.60,1.88,-0.38,-39.00,-14.53,261.23,2.01,264.53,1,813,1,18
0.76,2.05,-0.33,-43.88,-40.10,244.87,2.21,251.99,1,815,1,16
0.95,2.33,-0.41,-106.99,-64.82,223.02,2.55,255.71,1,809,0,25
1.05,1.15,0.02,-78.06,-88.75,251.59,1.55,277.97,1,806,3,19
1.20,1.99,1.34,-125.18,-110.72,190.67,2.68,253.55,1,805,1,17
1.63,1.44,0.96,-2.32,-19.53,117.00,2.38,118.65,1,803,1,17
1.95,-0.04,-0.14,40.89,24.17,17.40,1.95,50.59,1,801,0,18
0.69,4.00,0.85,-69.95,56.09,-140.75,4.14,166.88,1,790,1,35
-0.22,0.80,0.47,42.36,97.96,-206.05,0.95,232.05,1,529,2,80
0.39,1.17,0.30,-1.65,39.79,-235.35,1.27,238.70,1,650,2,116
0.04,1.55,-0.07,6.90,-11.17,-234.13,1.55,234.50,2,632,3,141
0.27,1.55,0.01,15.50,15.08,-181.76,1.57,183.04,4,537,3,148
0.28,1.07,-0.01,7.32,18.68,-72.45,1.10,75.18,15,455,4,142
0.17,1.04,-0.06,9.64,-7.63,-25.45,1.05,28.27,45,402,8,142
0.10,1.01,-0.08,16.72,-9.09,-11.90,1.02,22.45,122,428,18,140
0.12,0.96,-0.02,22.77,-1.89,-4.64,0.97,23.31,197,441,24,148
0.12,0.99,-0.02,21.79,-1.34,-1.65,0.99,21.89,440,446,29,149
0.12,0.95,0.02,18.98,0.12,0.12,0.96,18.98,403,445,33,154
0.12,0.95,0.02,9.40,0.43,0.73,0.96,9.44,315,445,36,155
0.11,0.97,0.01,3.23,0.55,0.12,0.98,3.28,372,444,35,154
0.12,0.97,0.01,0.92,0.79,0.06,0.98,1.21,268,448,35,155
0.12,0.99,-0.00,3.91,1.10,0.31,0.99,4.07,516,449,33,153
0.11,0.98,0.01,9.28,1.34,-0.24,0.98,9.38,264,446,33,155
0.11,0.97,0.02,8.73,1.40,-0.67,0.98,8.87,246,444,35,153
0.11,0.97,0.02,6.35,1.34,-0.31,0.97,6.50,307,444,37,151
0.11,0.97,0.02,4.76,1.77,-1.04,0.98,5.18,244,448,37,154
0.11,0.97,0.03,2.87,1.89,-1.71,0.98,3.84,290,449,39,150
0.11,0.98,0.02,2.93,2.14,-3.36,0.99,4.94,297,459,47,144
0.12,0.97,0.02,5.07,1.89,-4.76,0.98,7.20,285,469,52,138
0.12,0.98,0.02,4.82,1.77,-4.88,0.98,7.09,317,478,60,133
0.12,0.94,0.03,5.07,1.59,-6.59,0.95,8.46,326,487,71,121
0.13,0.97,0.02,0.49,1.28,-6.53,0.98,6.67,427,499,76,114
0.14,0.98,0.03,-1.16,0.67,-8.79,0.99,8.89,402,509,85,102
0.14,0.96,0.03,0.73,0.24,-8.36,0.97,8.40,374,517,89,92
0.14,0.98,0.03,0.49,0.55,-6.59,0.99,6.63,326,525,96,87
0.15,1.00,0.01,2.62,-0.24,-9.28,1.01,9.64,416,537,104,75
0.14,0.96,0.03,5.07,-0.55,-10.01,0.97,11.23,561,547,105,68
0.16,0.98,0.03,4.82,-0.67,-9.22,0.99,10.42,396,556,113,59
0.15,0.97,0.04,7.39,-1.40,-11.47,0.98,13.72,370,578,116,52
0.16,1.01,0.02,4.58,-0.06,-14.34,1.03,15.06,377,613,121,38
0.17,1.05,0.02,10.68,-1.89,-27.65,1.06,29.70,295,668,125,24
0.23,1.33,0.01,-5.92,2.99,-57.56,1.35,57.94,124,740,131,14
0.24,1.46,0.04,-3.78,2.93,-96.62,1.48,96.74,48,811,133,10
0.19,1.43,0.08,-0.98,5.68,-138.85,1.44,138.97,20,840,126,9
0.24,1.37,-0.04,-1.28,7.26,-179.99,1.39,180.14,10,872,121,6
0.33,1.31,-0.05,17.40,-1.83,-219.97,1.35,220.67,7,883,87,3
0.53,1.34,0.03,15.32,-6.35,-249.76,1.45,250.31,4,874,38,8
0.93,0.62,-0.13,-41.26,-0.24,-211.36,1.12,215.35,1,846,12,17
0.80,0.85,-0.01,-9.16,-20.39,-95.03,1.17,97.62,1,817,3,20
1.23,0.88,-0.11,-13.31,-35.83,-18.74,1.52,42.56,1,817,0,21
1.05,1.61,0.09,10.50,-52.92,74.65,1.93,92.10,1,809,0,22
0.73,1.10,-0.14,48.34,-65.55,56.76,1.33,99.28,1,807,0,22
0.21,1.01,0.02,13.18,-50.54,15.56,1.03,54.50,1,805,1,22
-0.10,0.71,0.03,-1.34,-6.10,-25.33,0.72,26.09,1,804,1,25
-0.13,0.87,0.11,-12.94,23.99,36.68,0.89,45.70,1,801,1,25
0.01,0.42,-0.01,4.21,23.19,82.09,0.42,85.41,1,797,1,25
0.08,0.57,0.10,-17.40,6.65,97.47,0.58,99.24,1,792,0,27
0.05,0.53,0.08,-10.44,-0.55,110.11,0.54,110.60,1,775,0,29
0.24,0.56,0.01,-17.76,-4.52,125.49,0.61,126.82,1,771,2,30
0.31,0.67,-0.04,-20.02,-7.45,119.51,0.74,121.40,1,765,1,31
